kernel-module-typec-6.13.1 kernel-module-typec-6.13.1 linux-stable 6.13.1 76
python3-venv python3-venv python3 3.12.6 69
libkmod2 libkmod kmod 31 69
python3-plistlib python3-plistlib python3 3.12.6 68
kernel-module-libcomposite-6.13.1 kernel-module-libcomposite-6.13.1 linux-stable 6.13.1 65
libbz2-1 libbz2 bzip2 1.0.8 64
dbus-tools dbus-tools dbus 1.14.10 62
kernel-module-cyapatp-6.13.1 kernel-module-cyapatp-6.13.1 linux-stable 6.13.1 59
libgdbm6 gdbm gdbm 1.23 57
kernel-module-rt2x00lib-6.13.1 kernel-module-rt2x00lib-6.13.1 linux-stable 6.13.1 57
python3-tomllib python3-tomllib python3 3.12.6 56
python3-threading python3-threading python3 3.12.6 54
kernel-module-lan78xx-6.13.1 kernel-module-lan78xx-6.13.1 linux-stable 6.13.1 54
python3-pprint python3-pprint python3 3.12.6 52
kernel-module-usb-f-mass-storage-6.13.1 kernel-module-usb-f-mass-storage-6.13.1 linux-stable 6.13.1 52
kernel-module-cec-6.13.1 kernel-module-cec-6.13.1 linux-stable 6.13.1 52
python3-db python3-db python3 3.12.6 50
kernel-module-nci-6.13.1 kernel-module-nci-6.13.1 linux-stable 6.13.1 49
python3-codecs python3-codecs python3 3.12.6 48
kernel-module-usb-f-fs-6.13.1 kernel-module-usb-f-fs-6.13.1 linux-stable 6.13.1 48
kernel-module-typec-ucsi-6.13.1 kernel-module-typec-ucsi-6.13.1 linux-stable 6.13.1 47
kernel-module-fsi-core-6.13.1 kernel-module-fsi-core-6.13.1 linux-stable 6.13.1 45
kernel-module-b53-common-6.13.1 kernel-module-b53-common-6.13.1 linux-stable 6.13.1 45
kernel-module-mwifiex-sdio-6.13.1 kernel-module-mwifiex-sdio-6.13.1 linux-stable 6.13.1 44
kernel-module-nfc-digital-6.13.1 kernel-module-nfc-digital-6.13.1 linux-stable 6.13.1 42
util-linux-sulogin util-linux-sulogin util-linux 2.39.3 41
kernel-module-rt2800usb-6.13.1 kernel-module-rt2800usb-6.13.1 linux-stable 6.13.1 41
kernel-module-hci-uart-6.13.1 kernel-module-hci-uart-6.13.1 linux-stable 6.13.1 41
kernel-module-qrtr-6.13.1 kernel-module-qrtr-6.13.1 linux-stable 6.13.1 40
kernel-module-fsi-master-gpio-6.13.1 kernel-module-fsi-master-gpio-6.13.1 linux-stable 6.13.1 38
kernel-module-sfp-6.13.1 kernel-module-sfp-6.13.1 linux-stable 6.13.1 37
kernel-module-r8a66597-hcd-6.13.1 kernel-module-r8a66597-hcd-6.13.1 linux-stable 6.13.1 37
kernel-module-ip6-tunnel-6.13.1 kernel-module-ip6-tunnel-6.13.1 linux-stable 6.13.1 36
kernel-module-ecc-6.13.1 kernel-module-ecc-6.13.1 linux-stable 6.13.1 36
kernel-module-atmel-mxt-ts-6.13.1 kernel-module-atmel-mxt-ts-6.13.1 linux-stable 6.13.1 36
kernel-module-bcm-sf2-6.13.1 kernel-module-bcm-sf2-6.13.1 linux-stable 6.13.1 35
kernel-module-hci-6.13.1 kernel-module-hci-6.13.1 linux-stable 6.13.1 33
python3-mime python3-mime python3 3.12.6 31
kernel-module-aes-generic-6.13.1 kernel-module-aes-generic-6.13.1 linux-stable 6.13.1 30
libffi8 libffi libffi 3.4.6 29
libacl1 libacl acl 2.3.2 29
kernel-module-flexcan-6.13.1 kernel-module-flexcan-6.13.1 linux-stable 6.13.1 29
kernel-module-edt-ft5x06-6.13.1 kernel-module-edt-ft5x06-6.13.1 linux-stable 6.13.1 29
kernel-module-adv7511-6.13.1 kernel-module-adv7511-6.13.1 linux-stable 6.13.1 29
initscripts initscripts initscripts 1.0 29
kernel-module-tda998x-6.13.1 kernel-module-tda998x-6.13.1 linux-stable 6.13.1 27
kernel-module-elants-i2c-6.13.1 kernel-module-elants-i2c-6.13.1 linux-stable 6.13.1 27
kernel-module-counter-6.13.1 kernel-module-counter-6.13.1 linux-stable 6.13.1 27
kernel-module-btmrvl-sdio-6.13.1 kernel-module-btmrvl-sdio-6.13.1 linux-stable 6.13.1 27
python3-unixadmin python3-unixadmin python3 3.12.6 26
kernel-module-usb-f-rndis-6.13.1 kernel-module-usb-f-rndis-6.13.1 linux-stable 6.13.1 26
kernel-module-samsung-dsim-6.13.1 kernel-module-samsung-dsim-6.13.1 linux-stable 6.13.1 26
kernel-module-chacha-neon-6.13.1 kernel-module-chacha-neon-6.13.1 linux-stable 6.13.1 26
libuuid1 util-linux-libuuid util-linux-libuuid 2.39.3 25
kernel-module-usb-f-hid-6.13.1 kernel-module-usb-f-hid-6.13.1 linux-stable 6.13.1 25
openssl-conf openssl-conf openssl 3.2.3 24
kernel-module-uas-6.13.1 kernel-module-uas-6.13.1 linux-stable 6.13.1 24
python3-stringold python3-stringold python3 3.12.6 23
kernel-module-onboard-usb-dev-6.13.1 kernel-module-onboard-usb-dev-6.13.1 linux-stable 6.13.1 23
kernel-module-fsi-master-aspeed-6.13.1 kernel-module-fsi-master-aspeed-6.13.1 linux-stable 6.13.1 23
python3-mmap python3-mmap python3 3.12.6 22
opkg opkg opkg 0.6.3 22
ncurses-terminfo-base ncurses-terminfo-base ncurses 6.4 22
kernel-module-usb-f-ss-lb-6.13.1 kernel-module-usb-f-ss-lb-6.13.1 linux-stable 6.13.1 22
kernel-module-usb-f-ncm-6.13.1 kernel-module-usb-f-ncm-6.13.1 linux-stable 6.13.1 22
kernel-module-bq27xxx-battery-6.13.1 kernel-module-bq27xxx-battery-6.13.1 linux-stable 6.13.1 22
kernel-module-bcm7xxx-6.13.1 kernel-module-bcm7xxx-6.13.1 linux-stable 6.13.1 22
sysvinit-pidof sysvinit-pidof sysvinit 3.04 21
libubootenv0 libubootenv libubootenv 0.3.5 21
libnsl3 libnsl2 libnsl2 2.0.1 21
kernel-module-usb-f-printer-6.13.1 kernel-module-usb-f-printer-6.13.1 linux-stable 6.13.1 21
kernel-module-drm-display-helper-6.13.1 kernel-module-drm-display-helper-6.13.1 linux-stable 6.13.1 21
kernel-module-cryptd-6.13.1 kernel-module-cryptd-6.13.1 linux-stable 6.13.1 21
kernel-module-af-alg-6.13.1 kernel-module-af-alg-6.13.1 linux-stable 6.13.1 21
python3-image python3-image python3 3.12.6 20
kernel-module-u-ether-6.13.1 kernel-module-u-ether-6.13.1 linux-stable 6.13.1 20
kernel-module-pci-endpoint-test-6.13.1 kernel-module-pci-endpoint-test-6.13.1 linux-stable 6.13.1 20
kernel-module-ghash-arm-ce-6.13.1 kernel-module-ghash-arm-ce-6.13.1 linux-stable 6.13.1 20
kernel-module-efivarfs-6.13.1 kernel-module-efivarfs-6.13.1 linux-stable 6.13.1 20
kernel-module-bq27xxx-battery-i2c-6.13.1 kernel-module-bq27xxx-battery-i2c-6.13.1 linux-stable 6.13.1 20
kernel-module-tc358768-6.13.1 kernel-module-tc358768-6.13.1 linux-stable 6.13.1 19
kernel-module-smb347-charger-6.13.1 kernel-module-smb347-charger-6.13.1 linux-stable 6.13.1 19
kernel-module-sii9234-6.13.1 kernel-module-sii9234-6.13.1 linux-stable 6.13.1 19
kernel-module-sii902x-6.13.1 kernel-module-sii902x-6.13.1 linux-stable 6.13.1 19
kernel-module-pci-epf-test-6.13.1 kernel-module-pci-epf-test-6.13.1 linux-stable 6.13.1 19
